"IID1"	"IID2"	"PI_HAT"
"BadSample_3"	"NA20811"	0.2174
"BadSample_3"	"NA20812"	0.2185
"BadSample_3"	"NA20813"	0.2192
"BadSample_3"	"NA20814"	0.218
"BadSample_3"	"NA20815"	0.2227
"BadSample_3"	"NA20818"	0.2241
"BadSample_3"	"NA20819"	0.2137
"BadSample_3"	"NA20821"	0.2134
"BadSample_3"	"NA20822"	0.2171
"BadSample_3"	"NA20826"	0.217
"BadSample_3"	"NA20827"	0.2269
"BadSample_3"	"NA20828"	0.2194
"BadSample_3"	"NA20832"	0.2249
"BadSample_4"	"BadSample_12"	0.2512
"BadSample_4"	"BadSample_13"	0.3094
"BadSample_4"	"BadSample_15"	0.3084
"BadSample_11"	"BadSample_12"	0.3167
"BadSample_11"	"BadSample_13"	0.3677
"BadSample_11"	"BadSample_14"	0.2617
"BadSample_11"	"BadSample_15"	0.3663
"BadSample_12"	"BadSample_13"	0.4165
"BadSample_12"	"BadSample_14"	0.329
"BadSample_12"	"BadSample_15"	0.405
"BadSample_12"	"HG00096"	0.2516
"BadSample_12"	"HG00097"	0.2358
"BadSample_12"	"HG00099"	0.2488
"BadSample_12"	"HG00100"	0.2431
"BadSample_12"	"HG00101"	0.2391
"BadSample_12"	"HG00102"	0.2431
"BadSample_12"	"HG00103"	0.2462
"BadSample_12"	"HG00105"	0.2521
"BadSample_12"	"HG00106"	0.2533
"BadSample_12"	"HG00107"	0.2522
"BadSample_12"	"HG00108"	0.2374
"BadSample_12"	"HG00109"	0.2541
"BadSample_12"	"HG00110"	0.2259
"BadSample_12"	"HG00111"	0.2379
"BadSample_12"	"HG00112"	0.2415
"BadSample_12"	"HG00113"	0.2395
"BadSample_12"	"HG00114"	0.2294
"BadSample_12"	"HG00115"	0.2402
"BadSample_12"	"HG00116"	0.2441
"BadSample_12"	"HG00117"	0.2306
"BadSample_12"	"HG00118"	0.2464
"BadSample_12"	"HG00119"	0.2384
"BadSample_12"	"HG00120"	0.2472
"BadSample_12"	"HG00121"	0.2444
"BadSample_12"	"HG00122"	0.2492
"BadSample_12"	"HG00123"	0.2474
"BadSample_12"	"HG00125"	0.2356
"BadSample_12"	"HG00126"	0.2357
"BadSample_12"	"HG00127"	0.2386
"BadSample_12"	"HG00128"	0.2509
"BadSample_12"	"HG00129"	0.2542
"BadSample_12"	"HG00130"	0.2439
"BadSample_12"	"HG00131"	0.243
"BadSample_12"	"HG00132"	0.2359
"BadSample_12"	"HG00133"	0.254
"BadSample_12"	"HG00136"	0.2439
"BadSample_12"	"HG00137"	0.2471
"BadSample_12"	"HG00138"	0.2537
"BadSample_12"	"HG00139"	0.2364
"BadSample_12"	"HG00140"	0.2495
"BadSample_12"	"HG00141"	0.2424
"BadSample_12"	"HG00142"	0.2457
"BadSample_12"	"HG00143"	0.2453
"BadSample_12"	"HG00145"	0.2464
"BadSample_12"	"HG00146"	0.257
"BadSample_12"	"HG00148"	0.2474
"BadSample_12"	"HG00149"	0.2446
"BadSample_12"	"HG00150"	0.2423
"BadSample_12"	"HG00151"	0.2408
"BadSample_12"	"HG00154"	0.2391
"BadSample_12"	"HG00155"	0.2426
"BadSample_12"	"HG00157"	0.2544
"BadSample_12"	"HG00158"	0.2478
"BadSample_12"	"HG00159"	0.2406
"BadSample_12"	"HG00160"	0.2403
"BadSample_12"	"HG00171"	0.2363
"BadSample_12"	"HG00173"	0.2355
"BadSample_12"	"HG00174"	0.2548
